job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,days_ago,salary_numeric
data scientist,senior,on-site,company_746,United States,25 days ago,"Omaha, NE, US",Technology,Private,90,Private,"€95,906 - €114,173","['sql', 'machine learning', 'r', 'python']",25,105039.5
data scientist,Not Specified,Unknown,company_754,"Alameda, CA",2 months ago,"Alameda, CA, US",Healthcare,Public,"2,320",Public,"€38,730 - €61,967",[],2,50348.5
data scientist,senior,remote,company_757,United States . Fully Remote,14 days ago,"Miami, FL, US",Finance,Private,226,Private,"€150,707 - €200,940","['sql', 'python']",14,175823.5
data scientist,senior,on-site,company_759,United States,a month ago,"Reston, VA, US",Technology,Public,"34,020",Public,"€164,406","['pandas', 'pytorch', 'aws', 'r', 'python', 'linux', 'java', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow']",,164406
data scientist,senior,Unknown,company_762,"Grand Rapids, MI",a month ago,"Grand Rapids, MI, US",Retail,Private,"70,060",Private,"€115,541","['pandas', 'numpy', 'pytorch', 'r', 'python', 'sql', 'machine learning', 'azure', 'tensorflow']",,115541
data scientist,senior,Unknown,company_763,"Ahmedabad, Gujarat, India . Bengaluru, Karnataka, India",7 days ago,"New York, NY, US",Technology,Public,"26,670",Public,"€18,675","['pytorch', 'deep learning', 'machine learning', 'python']",7,18675
data scientist,senior,on-site,company_555,"New York, NY",10 days ago,"Boston, MA, US",Finance,Public,"3,060",Public,"€141,570","['kubernetes', 'machine learning', 'python']",10,141570
machine learning engineer,Not Specified,hybrid,company_770,Hybrid,12 days ago,"San Francisco, CA, US",Energy,Private,"1,910",Private,"€109,607 - €137,007",[],12,123307
data scientist,senior,hybrid,company_145,"New York, New York . Hybrid",a day ago,"San Jose, CA, US",Technology,Public,"2,760",Public,"€120,566 - €231,992",[],,176279
data scientist,senior,on-site,company_774,"Fredericksburg, VA . Richmond, VA . San Francisco, CA . Seattle, WA",4 days ago,"Chevy Chase, MD, US",Technology,Private,"25,090",Private,"€100,469 - €210,068","['powerbi', 'r', 'python', 'java', 'sql', 'machine learning', 'tableau']",4,155268.5
data scientist,senior,Unknown,company_780,"Los Angeles, CA",5 days ago,"Los Angeles, CA, US",Healthcare,Private,"5,674",Private,"€95,356 - €163,460","['pandas', 'git', 'r', 'python', 'keras', 'machine learning']",5,129408
data scientist,senior,Unknown,company_781,"Charlotte, NC . Charlotte, North Carolina, United States",a month ago,"Stamford, CT, US",Technology,Public,"96,050",Public,"€95,902","['machine learning', 'r', 'python']",,95902
data scientist,senior,hybrid,company_782,"Munich, Germany . Hybrid",7 months ago,"OH, US",Manufacturing,Private,300,Private,"€62,797 - €72,216",[],7,67506.5
data scientist,senior,hybrid,company_785,United States . Hybrid,14 days ago,"Birmingham, AL, US",Technology,Private,"5,780",Private,"€112,343 - €225,595","['pytorch', 'spark', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']",14,168969
data scientist,senior,hybrid,company_786,"Seattle, WA . Hybrid",18 days ago,"Seattle, WA, US",Retail,Public,"74,020",Public,"€147,962 - €271,261","['aws', 'python', 'scala', 'java', 'gcp', 'machine learning']",18,209611.5
data scientist,senior,on-site,company_793,"Pittsburgh, PA",2 months ago,"Pittsburgh, PA, US",Education,Unknown,"12,609",Education,"€74,793",['machine learning'],2,74793
data scientist,senior,on-site,company_795,"Calgary, Alberta, Canada . Canada, Moyen-Chari, Chad . Greater Calgary Metropolitan Area",2 months ago,"Herndon, VA, US",Technology,Private,"3,550",Private,"€52,067","['scikit-learn', 'python']",2,52067
data scientist,senior,on-site,company_796,"Augusta, GA",a month ago,"Columbia, MD, US",Technology,Private,150,Private,"€39,797 - €87,544","['machine learning', 'python']",,63670.5
data scientist,senior,on-site,company_797,"Toronto, Ontario, Canada",a month ago,"Toronto, ON, CA",Retail,Public,"20,600",Public,"€59,210","['git', 'python', 'airflow', 'sql', 'machine learning', 'hadoop', 'azure']",,59210
data scientist,senior,Unknown,company_800,"New York, United States",7 days ago,"New York, NY, US",Technology,Public,"10,040",Public,"€77,313 - €96,639","['spark', 'aws', 'git', 'python', 'docker', 'airflow', 'sql', 'machine learning', 'tableau']",7,86976
data scientist,senior,Unknown,company_804,"Houston, TX . Houston, Texas, Statele Unite Ale Americii . Houston, Texas, USA",a month ago,"Bedford, MA, US",Technology,Public,"2,550",Public,"€118,733","['deep learning', 'machine learning', 'python']",,118733
data scientist,senior,hybrid,company_807,"Chicago, IL . Hybrid",7 days ago,"Chicago, IL, US",Healthcare,Unknown,"1,570",Nonprofit,"€76,471 - €101,121","['r', 'python', 'java', 'sql', 'machine learning', 'database', 'deep learning', 'tableau']",7,88796
data scientist,senior,on-site,company_226,"Henrietta, NY",3 months ago,"Rochester, NY, US",Education,Unknown,"9,260",Education,"€64,121 - €96,177",['machine learning'],3,80149
data scientist,midlevel,on-site,company_796,"Denver, CO",a month ago,"Columbia, MD, US",Technology,Private,150,Private,"€55,940 - €123,063","['machine learning', 'python']",,89501.5
data scientist,senior,hybrid,company_662,Hybrid,13 days ago,"Redwood City, CA, US",Technology,Private,600,Private,"€195,456",[],13,195456
data scientist,Not Specified,on-site,company_445,On-site,14 days ago,"Ventura, CA, US",Technology,Public,"2,270",Public,"€94,264 - €172,810",[],14,133537
data scientist,lead,hybrid,company_814,"Chicago, IL . Hybrid",9 days ago,"Austin, TX, US",Logistics,Private,"1,260",Private,"€182,673 - €274,006",[],9,228339.5
data scientist,senior,on-site,company_816,"San Francisco, CA",4 days ago,"San Francisco, CA, US",Retail,Public,"117,030",Public,"€144,893 - €161,660","['aws', 'python', 'machine learning', 'azure', 'deep learning', 'tableau']",4,153276.5
data scientist,senior,hybrid,company_817,United States . Hybrid,7 days ago,"New York, NY, US",Education,Unknown,"3,510",Education,"€137,003 - €148,876","['pandas', 'aws', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'gcp', 'azure']",7,142939.5
data scientist,junior,Unknown,company_819,"San Diego, CA",6 days ago,"San Diego, CA, US",Finance,Unknown,600,Nonprofit,"€86,771 - €114,171","['pandas', 'numpy', 'pytorch', 'aws', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow', 'tableau']",6,100471
data scientist,senior,hybrid,company_706,"Los Angeles, CA . Hybrid",a month ago,"Los Angeles, CA, US",Technology,Private,150,Private,"€121,476 - €225,595",[],,173535.5
data scientist,senior,Unknown,company_738,"Chicago, IL",14 days ago,"San Francisco, CA, US",Finance,Private,700,Private,"€189,520 - €205,503","['amazon', 'spark', 'git', 'r', 'python', 'linux', 'java', 'sql', 'machine learning', 'database', 'azure']",14,197511.5
data scientist,senior,remote,company_825,"Remote - US . San Diego, California, United States . Fully Remote",14 days ago,"San Diego, CA, US",Technology,Private,210,Private,"€144,750 - €229,724",[],14,187237
data scientist,senior,remote,company_832,"Torrance, CA",7 days ago,"Renton, WA, US",Healthcare,Unknown,"120,010",Nonprofit,"€159,835","['r', 'python', 'scala', 'sql', 'machine learning', 'database', 'azure', 'tableau']",7,159835
data scientist,lead,Unknown,company_047,"Visakhapatnam Rural mandal, India",7 days ago,"Bengaluru, KA, IN",Technology,Public,"222,040",€24.46B,"€10,053","['deep learning', 'machine learning']",7,10053
